Model,Release Date,Release Year,Model ID,Device Type,Year,Month,Company,Company_real,Company ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Mass (grams),Pixel Density (per inch),Mass New,Depth New,principal component 1,principal component 2,Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams)
NTT DoCoMo PRO series T-01A (Toshiba Tsunagi),2009-07-01,2009.5,1651,Phone,2009,7,NTT,"NTT DOCOMO, Inc",94,0.124973296,0.008388246,0.499771896,0.172661871,0.154471545,0.380952381,0.01487069,0.463149924,0.98512931,0.975625401,0.140680208,-0.146302685,0.173260573,0.327868852,0.024374599,0.009699591,0.01487069
O2 Xda Venn (Pantech Mustang 2),2009-07-01,2009.5,1652,Phone,2009,7,O2,O2,95,0.062471389,0.004193611,0.263664231,0.050359712,0.056910569,0.142857143,0.019612069,0.308430086,0.980387931,0.900577293,-0.207139832,-0.086153614,0.121418827,0.233606557,0.099422707,0.015566452,0.019612069
RIM BlackBerry Tour 9630 (RIM Niagara),2009-07-01,2009.5,1653,Phone,2009,7,RIM,BlackBerry Limited,21,0.124973296,0.004193611,0.263664231,0.050359712,0.154471545,0.142857143,0.015086207,0.494194851,0.984913793,0.948043618,-0.093688927,-0.165572345,0.151432469,0.258196721,0.051956382,0.011669486,0.015086207
RIM BlackBerry Tour 9630 without camera (RIM Niagara),2009-07-01,2009.5,1654,Phone,2009,7,RIM,BlackBerry Limited,21,0.124973296,0.004193611,0.263664231,0.050359712,0.154471545,0.142857143,0.015086207,0.782180717,0.984913793,0.948043618,-0.008912195,-0.327155452,0.151432469,0.258196721,0.051956382,0.007001692,0.015086207
Samsung GT-C6625v,2009-07-01,2009.5,1655,Phone,2009,7,Samsung,Samsung,113,0.062471389,0.004193611,0.196133437,0.064748201,0.089430894,0.103174603,0.010560345,0.276375568,0.989439655,0.962475946,-0.252879736,-0.042726409,0.154160982,0.26352459,0.037524054,0.008821703,0.010560345
Samsung GT-i8910 16GB / Omnia HD,2009-07-01,2009.5,1656,Phone,2009,7,Samsung,Samsung,113,0.124973296,0.004193611,0.299680654,0.143884892,0.105691057,0.301587302,0.018103448,0.38869258,0.981896552,0.956382296,-0.03732129,-0.094394696,0.140518417,0.303278689,0.043617704,0.0102563,0.018103448
"Stuart Hughes iPhone 3GS 22ct Solid Gold (Apple iPhone 2,1)",2009-07-01,2009.5,1657,Phone,2009,7,Stuart,Foxconn Technology Group,49,0.124973296,0.499999488,0.299680654,0.129496403,0.089430894,0.222222222,0.040948276,0.299343766,0.959051724,0.95574086,0.065675197,0.120399062,0.152796726,0.274590164,0.04425914,0.010748774,0.040948276
T-Mobile Dash 3G (HTC Maple 100),2009-07-01,2009.5,1658,Phone,2009,7,T-Mobile,T-Mobile,128,0.093722343,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.012931034,0.308430086,0.987068966,0.962155228,-0.194060802,-0.078435586,0.150068213,0.276639344,0.037844772,0.008971586,0.012931034
T-Mobile G2 Touch (HTC Hero 100),2009-07-01,2009.5,1659,Phone,2009,7,T-Mobile,T-Mobile,128,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.016163793,0.344522968,0.983836207,0.947081462,-0.101638445,-0.078132405,0.135607094,0.258196721,0.052918538,0.009892298,0.016163793
Telstra HTC Touch Pro2 T7381 (HTC Rhodium),2009-07-01,2009.5,1660,Phone,2009,7,Telstra,HTC,61,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.025538793,0.538112065,0.974461207,0.932328416,0.035592945,-0.166361889,0.143792633,0.274590164,0.067671584,0.015031154,0.025538793
The Medical Phone iCEphone,2009-07-01,2009.5,1661,Phone,2009,7,The,Medical Phone Ltd,79,0.062471389,0.004193611,0.265665143,0.09352518,0.12195122,0.103174603,0.032327586,0.283947501,0.967672414,0.889672867,-0.204579475,-0.014632499,0.148158254,0.319672131,0.110327133,0.029077361,0.032327586
TMN Bluebelt (ZTE Xiang),2009-07-01,2009.5,1662,Phone,2009,7,TMN,ZTE,156,0.062471389,0.031878203,0.263664231,0.057553957,0.089430894,0.103174603,0.017025862,0.295053004,0.982974138,0.962796665,-0.2035496,-0.056024271,0.162346521,0.266393443,0.037203335,0.009721003,0.017025862
Toshiba TG01 (Toshiba Tsunagi),2009-07-01,2009.5,1663,Phone,2009,7,Toshiba,Toshiba Corporation,136,0.124973296,0.008388246,0.499771896,0.172661871,0.154471545,0.380952381,0.01487069,0.463149924,0.98512931,0.975625401,0.140680208,-0.146302685,0.173260573,0.327868852,0.024374599,0.009699591,0.01487069
Unitech HT680,2009-07-01,2009.5,1664,Phone,2009,7,Unitech,Unitech Electronics Co Ltd,140,0.062471389,0.008388246,0.259662406,0.071942446,0.056910569,0.142857143,0.056034483,0.259464917,0.943965517,0.8466966,-0.220444245,-0.024293451,0.132332879,0.495901639,0.1533034,0.050617733,0.056034483
Dopod Hero A6288 (HTC Hero 100),2009-08-01,2009.583333,1665,Phone,2009,8,Dopod,HTC,61,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.016163793,0.344522968,0.983836207,0.947081462,-0.101638445,-0.078132405,0.135607094,0.258196721,0.052918538,0.009892298,0.016163793
Dopod Touch Diamond S910 (HTC Diamond),2009-08-01,2009.583333,1666,Phone,2009,8,Dopod,HTC,61,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.010775862,0.620646138,0.989224138,0.966324567,-0.005991715,-0.24528047,0.121418827,0.217213115,0.033675433,0.003190373,0.010775862
Garmin-Asus nuvifone M20 4GB,2009-08-01,2009.583333,1667,Phone,2009,8,Garmin-Asus,Garmin Ltd,51,0.062471389,0.062079576,0.263664231,0.079136691,0.154471545,0.301587302,0.008405172,0.610297829,0.991594828,0.957023733,-0.006873351,-0.221021579,0.125511596,0.189754098,0.042976267,0.004260968,0.008405172
HTC Hero A6265 (HTC Hero 130),2009-08-01,2009.583333,1668,Phone,2009,8,HTC,HTC,61,0.140598773,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.016163793,0.344522968,0.983836207,0.947081462,-0.101638445,-0.078132405,0.135607094,0.258196721,0.052918538,0.009892298,0.016163793
Navon N650,2009-08-01,2009.583333,1669,Phone,2009,8,Navon,Navon MIZU,89,0.031220435,0.001047635,0.197634121,0.237410072,0.154471545,0.119047619,0.03512931,0.166330136,0.96487069,0.930083387,-0.2468825,0.151138854,0.347885402,0.159836066,0.069916613,0.033488213,0.03512931
Samsung GT-i8000 Omnia II M16 16GB,2009-08-01,2009.583333,1670,Phone,2009,8,Samsung,Samsung,113,0.124973296,0.008388246,0.399726275,0.143884892,0.154471545,0.380952381,0.01487069,0.524230187,0.98512931,0.962796665,0.098770476,-0.181511299,0.144884038,0.282786885,0.037203335,0.008479113,0.01487069
Samsung GT-i8000 Omnia II M2 2GB,2009-08-01,2009.583333,1671,Phone,2009,8,Samsung,Samsung,113,0.124973296,0.008388246,0.399726275,0.143884892,0.154471545,0.380952381,0.01487069,0.524230187,0.98512931,0.962796665,0.098770476,-0.181511299,0.144884038,0.282786885,0.037203335,0.008479113,0.01487069
T-Mobile HTC Touch Pro 2 US / Wing II (HTC Rhodium 210),2009-08-01,2009.583333,1672,Phone,2009,8,T-Mobile,T-Mobile,128,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.027586207,0.538112065,0.972413793,0.928479795,0.035391348,-0.165179556,0.143792633,0.274590164,0.071520205,0.015930454,0.027586207
T-Mobile MDA Compact V (HTC Topaz),2009-08-01,2009.583333,1673,Phone,2009,8,T-Mobile,T-Mobile,128,0.140598773,0.008388246,0.263664231,0.107913669,0.154471545,0.380952381,0.012392241,0.626451287,0.987607759,0.948043618,0.056381142,-0.239659249,0.125238745,0.249590164,0.051956382,0.008072287,0.012392241
T-Mobile MDA Vario V (HTC Rhodium 100),2009-08-01,2009.583333,1674,Phone,2009,8,T-Mobile,T-Mobile,128,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.025646552,0.538112065,0.974353448,0.928479795,0.03533177,-0.165983737,0.143792633,0.274590164,0.071520205,0.015930454,0.025646552
T-Mobile myTouch 3G (HTC Sapphire 300),2009-08-01,2009.583333,1675,Phone,2009,8,T-Mobile,T-Mobile,128,0.093722343,0.008388246,0.263664231,0.107913669,0.089430894,0.222222222,0.012068966,0.344522968,0.987931034,0.95157152,-0.126093856,-0.07986326,0.134106412,0.262295082,0.04842848,0.008928763,0.012068966
AnyDATA ASP-705W,2009-09-01,2009.666667,1676,Phone,2009,9,AnyDATA,Anydata Corporation,9,0.062471389,0.004193611,0.263664231,0.079136691,0.056910569,0.142857143,0.012931034,0.249116608,0.987068966,0.947402181,-0.215694623,-0.042781502,0.140518417,0.217213115,0.052597819,0.00867182,0.012931034
Casio Cassiopeia DT-5300 M50S,2009-09-01,2009.666667,1677,Phone,2009,9,Casio,Casio,26,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.046336207,0.433619384,0.953663793,0.878768441,-0.043643504,-0.086844753,0.195088677,0.450819672,0.121231559,0.056955656,0.046336207
Casio Cassiopeia DT-5300 M50SC,2009-09-01,2009.666667,1678,Phone,2009,9,Casio,Casio,26,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.044181034,0.433619384,0.955818966,0.878768441,-0.043709702,-0.087738288,0.195088677,0.450819672,0.121231559,0.056955656,0.044181034
Casio Cassiopeia DT-5300 M52S,2009-09-01,2009.666667,1679,Phone,2009,9,Casio,Casio,26,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.045258621,0.433619384,0.954741379,0.878768441,-0.043676603,-0.087291521,0.195088677,0.450819672,0.121231559,0.056955656,0.045258621
Casio Cassiopeia DT-5300 M52SC,2009-09-01,2009.666667,1680,Phone,2009,9,Casio,Casio,26,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.046336207,0.433619384,0.953663793,0.878768441,-0.043643504,-0.086844753,0.195088677,0.450819672,0.121231559,0.056955656,0.046336207
Datalogic Mobile J Series,2009-09-01,2009.666667,1681,Phone,2009,9,Datalogic,Roper Technologies,110,0.062471389,0.008388246,0.259662406,0.129496403,0.056910569,0.142857143,0.129310345,0.17617365,0.870689655,0.859525337,-0.230044813,0.085547682,0.227830832,0.520491803,0.140474663,0.161188789,0.129310345
Datalogic Mobile J Series Windows CE,2009-09-01,2009.666667,1682,Phone,2009,9,Datalogic,Roper Technologies,110,0.062471389,0.008388246,0.259662406,0.129496403,0.056910569,0.142857143,0.129310345,0.17617365,0.870689655,0.859525337,-0.230044813,0.085547682,0.227830832,0.520491803,0.140474663,0.161188789,0.129310345
General Mobile DSTL1 Imaginary,2009-09-01,2009.666667,1683,Phone,2009,9,General,TechFaith Wirelessæ,131,0.062471389,0.004193611,0.311686129,0.09352518,0.056910569,0.182539683,0.016163793,0.281423523,0.983836207,0.936497755,-0.16342187,-0.062937263,0.129604366,0.258196721,0.063502245,0.011284072,0.016163793
Getac PS236,2009-09-01,2009.666667,1684,Phone,2009,9,Getac,MiTAC International Corp,84,0.062471389,0.004193611,0.402727644,0.129496403,0.154471545,0.301587302,0.094827586,0.464159515,0.905172414,0.8466966,0.010020977,-0.103088715,0.225102319,0.528688525,0.1533034,0.092328116,0.094827586
Getac PS236 WWAN,2009-09-01,2009.666667,1685,Phone,2009,9,Getac,MiTAC International Corp,84,0.062471389,0.004193611,0.402727644,0.129496403,0.154471545,0.301587302,0.094827586,0.464159515,0.905172414,0.8466966,0.010020977,-0.103088715,0.225102319,0.528688525,0.1533034,0.092328116,0.094827586
HTC Snap CDMA (HTC Cedar),2009-09-01,2009.666667,1686,Phone,2009,9,HTC,HTC,61,0.062471389,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.009698276,0.308430086,0.990301724,0.95574086,-0.211026375,-0.07898282,0.145975443,0.25,0.04425914,0.008928763,0.009698276
Lenovo Mobile O1 / Miro O1,2009-09-01,2009.666667,1687,Phone,2009,9,Lenovo,Lenovo,76,0.062471389,0.249999232,0.311686129,0.129496403,0.089430894,0.222222222,0.021767241,0.507319536,0.978232759,0.962155228,0.016910452,-0.08554387,0.156889495,0.274590164,0.037844772,0.013253967,0.021767241
Mio Moov V500,2009-09-01,2009.666667,1688,Phone,2009,9,Mio,MiTAC International Corp,84,0.031220435,0.016777517,0.299680654,0.215827338,0.154471545,0.119047619,0.036637931,0.18525997,0.963362069,0.924951892,-0.186612955,0.118728065,0.379263302,0.155737705,0.075048108,0.038798364,0.036637931
Mio Moov V700,2009-09-01,2009.666667,1689,Phone,2009,9,Mio,MiTAC International Corp,84,0.031220435,0.016777517,0.299680654,0.381294964,0.284552846,0.222222222,0.056034483,0.22387683,0.943965517,0.939704939,-0.070437985,0.228157471,0.517053206,0.231557377,0.060295061,0.059182494,0.056034483
Motorola MC9500-K CDMA,2009-09-01,2009.666667,1690,Phone,2009,9,Motorola,Motorola,87,0.062471389,0.008388246,0.402727644,0.143884892,0.154471545,0.301587302,0.121336207,0.433619384,0.878663793,0.713277742,-0.002978689,-0.053609669,0.224829468,0.756557377,0.286722258,0.216452905,0.121336207
Motorola MC9500-K GSM,2009-09-01,2009.666667,1691,Phone,2009,9,Motorola,Motorola,87,0.062471389,0.008388246,0.402727644,0.143884892,0.154471545,0.301587302,0.121336207,0.433619384,0.878663793,0.713277742,-0.002978689,-0.053609669,0.224829468,0.756557377,0.286722258,0.216452905,0.121336207
Nokia 5530 XpressMusic,2009-09-01,2009.666667,1692,Phone,2009,9,Nokia,Nokia Corporation,92,0.062471389,0.004193611,0.216642789,0.086330935,0.105691057,0.301587302,0.01012931,0.532811711,0.98987069,0.95574086,-0.08390797,-0.199530005,0.115961801,0.225409836,0.04425914,0.00473203,0.01012931
Nokia N86-2 8MP,2009-09-01,2009.666667,1693,Phone,2009,9,Nokia,Nokia Corporation,92,0.062471389,0.004193611,0.216642789,0.064748201,0.056910569,0.142857143,0.019181034,0.276627966,0.980818966,0.920461835,-0.237166236,-0.054762756,0.122510232,0.22295082,0.079538165,0.005331563,0.019181034
QiGi U86,2009-09-01,2009.666667,1694,Phone,2009,9,QiGi,QiGi,107,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.011853448,0.257193337,0.988146552,0.956382296,-0.181120011,-0.012270622,0.135061392,0.229508197,0.043617704,0.006808984,0.011853448
QiGi V96,2009-09-01,2009.666667,1695,Phone,2009,9,QiGi,QiGi,107,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.017241379,0.257193337,0.982758621,0.952533675,-0.181219002,-0.009703311,0.139154161,0.237704918,0.047466325,0.008350641,0.017241379
QiGi W96,2009-09-01,2009.666667,1696,Phone,2009,9,QiGi,QiGi,107,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.017241379,0.257193337,0.982758621,0.952533675,-0.181219002,-0.009703311,0.139154161,0.237704918,0.047466325,0.008350641,0.017241379
QiGi W96 B,2009-09-01,2009.666667,1697,Phone,2009,9,QiGi,QiGi,107,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.017241379,0.257193337,0.982758621,0.952533675,-0.181219002,-0.009703311,0.139154161,0.237704918,0.047466325,0.008350641,0.017241379
RoverPC Evo X8 (QiGi U86),2009-09-01,2009.666667,1698,Phone,2009,9,RoverPC,RoverComputers,111,0.062471389,0.004193611,0.311686129,0.107913669,0.056910569,0.182539683,0.011206897,0.257193337,0.988793103,0.956382296,-0.1663939,-0.044660403,0.135061392,0.229508197,0.043617704,0.006808984,0.011206897
Sprint Touch Pro2 T7380 (HTC Rhodium W),2009-09-01,2009.666667,1699,Phone,2009,9,Sprint,Sprint Corporation,126,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.025862069,0.538112065,0.974137931,0.928159076,0.035316349,-0.165866594,0.14324693,0.274590164,0.071840924,0.015909042,0.025862069
Stuart Hughes BlackBerry Bold 9000 Diamond,2009-09-01,2009.666667,1700,Phone,2009,9,Stuart,Foxconn Technology Group,49,0.062471389,0.002096294,0.311686129,0.064748201,0.154471545,0.142857143,0.017241379,0.448258455,0.982758621,0.942912123,-0.112606244,-0.137329972,0.162346521,0.266393443,0.057087877,0.014731388,0.017241379
"Stuart Hughes iPhone 3GS 18ct Soild Rose Gold Diamond (Apple iPhone 2,1)",2009-09-01,2009.666667,1701,Phone,2009,9,Stuart,Foxconn Technology Group,49,0.124973296,0.499999488,0.299680654,0.129496403,0.089430894,0.222222222,0.040948276,0.299343766,0.959051724,0.95574086,0.065675197,0.120399062,0.152796726,0.274590164,0.04425914,0.010748774,0.040948276
"Stuart Hughes iPhone 3GS Platinum & Diamond (Apple iPhone 2,1)",2009-09-01,2009.666667,1702,Phone,2009,9,Stuart,Foxconn Technology Group,49,0.124973296,0.499999488,0.299680654,0.129496403,0.089430894,0.222222222,0.073275862,0.299343766,0.926724138,0.95574086,0.066668162,0.133802079,0.152796726,0.274590164,0.04425914,0.010748774,0.073275862
Verizon Touch Pro2 XV6875 (HTC Rhodium 500),2009-09-01,2009.666667,1703,Phone,2009,9,Verizon,Verizon Communications,143,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.024784483,0.538112065,0.975215517,0.928159076,0.03528325,-0.166313361,0.154160982,0.267008197,0.071840924,0.017193756,0.024784483
Vodafone 360 H1,2009-09-01,2009.666667,1704,Phone,2009,9,Vodafone,Vodafone,146,0.124973296,0.000244755,0.299680654,0.129496403,0.154471545,0.380952381,0.015948276,0.560070671,0.984051724,0.956382296,0.050135712,-0.196795,0.140518417,0.274180328,0.043617704,0.00912147,0.015948276
Acer beTouch E100 (Acer C1),2009-10-01,2009.75,1705,Phone,2009,10,Acer,Acer,3,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.0125,0.252650177,0.9875,0.956703015,-0.158915441,-0.033606947,0.135061392,0.262295082,0.043296985,0.007965227,0.0125
Acer beTouch E100 B (Acer C1),2009-10-01,2009.75,1706,Phone,2009,10,Acer,Acer,3,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.0125,0.252650177,0.9875,0.956703015,-0.158915441,-0.033606947,0.135061392,0.262295082,0.043296985,0.007965227,0.0125
Acer beTouch E101 (Acer E1),2009-10-01,2009.75,1707,Phone,2009,10,Acer,Acer,3,0.124973296,0.008388246,0.263664231,0.107913669,0.056910569,0.182539683,0.0125,0.252650177,0.9875,0.956703015,-0.158915441,-0.033606947,0.135061392,0.262295082,0.043296985,0.007965227,0.0125
Acer beTouch E200 (Acer L1),2009-10-01,2009.75,1708,Phone,2009,10,Acer,Acer,3,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.018534483,0.281423523,0.981465517,0.940346376,-0.15433046,-0.054291802,0.128240109,0.25,0.059653624,0.009956534,0.018534483
Acer beTouch E200 B (Acer L1),2009-10-01,2009.75,1709,Phone,2009,10,Acer,Acer,3,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.018534483,0.281423523,0.981465517,0.940346376,-0.15433046,-0.054291802,0.128240109,0.25,0.059653624,0.009956534,0.018534483
Acer neoTouch S200 (Acer F1),2009-10-01,2009.75,1710,Phone,2009,10,Acer,Acer,3,0.124973296,0.008388246,0.499771896,0.151079137,0.154471545,0.380952381,0.015086207,0.510853104,0.984913793,0.962155228,0.149384069,-0.184501276,0.154160982,0.285245902,0.037844772,0.009763827,0.015086207
Archos 5 Internet Tablet 160GB,2009-10-01,2009.75,1711,Tab,2009,10,Archos,Archos,11,0.124973296,0.499999488,0.399726275,0.223021583,0.154471545,0.380952381,0.048706897,0.22387683,0.951293103,0.910840282,0.187956129,0.208272565,0.372987722,0.122131148,0.089159718,0.046378177,0.048706897
AT_T HTC Pure (HTC Topaz 210),2009-10-01,2009.75,1712,Phone,2009,10,AT_T,AT&T,15,0.140598773,0.008388246,0.263664231,0.107913669,0.154471545,0.380952381,0.040948276,0.17617365,0.959051724,0.942912123,-0.075646261,0.025266489,0.127694407,0.25,0.057087877,0.055178468,0.040948276
AT_T HTC Tilt2 T7377 (HTC Rhodium 300),2009-10-01,2009.75,1713,Phone,2009,10,AT_T,AT&T,15,0.140598773,0.008388246,0.263664231,0.136690647,0.154471545,0.380952381,0.040948276,0.17617365,0.959051724,0.932328416,-0.070480485,0.043103286,0.143792633,0.274590164,0.067671584,0.035929169,0.040948276
Casio Cassiopeia DT-5300 M30S,2009-10-01,2009.75,1714,Phone,2009,10,Casio,Casio,26,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.049568966,0.433619384,0.950431034,0.878768441,-0.043544207,-0.085504452,0.195088677,0.450819672,0.121231559,0.057598013,0.049568966
Casio Cassiopeia DT-5300 M30SC,2009-10-01,2009.75,1715,Phone,2009,10,Casio,Casio,26,0.062471389,0.004193611,0.311686129,0.143884892,0.154471545,0.301587302,0.046336207,0.433619384,0.953663793,0.878768441,-0.043643504,-0.086844753,0.195088677,0.450819672,0.121231559,0.056955656,0.046336207
Garmin-Asus nuvifone M20 4GB NA,2009-10-01,2009.75,1716,Phone,2009,10,Garmin-Asus,Garmin Ltd,51,0.062471389,0.062079576,0.263664231,0.079136691,0.154471545,0.301587302,0.008405172,0.610297829,0.991594828,0.957023733,-0.006873351,-0.221021579,0.125511596,0.189754098,0.042976267,0.004260968,0.008405172
Highscreen PP5420,2009-10-01,2009.75,1717,Phone,2009,10,Highscreen,Foxconn Technology Group,49,0.062471389,0.004193611,0.263664231,0.09352518,0.056910569,0.182539683,0.012931034,0.281423523,0.987068966,0.95574086,-0.187694276,-0.058807119,0.128240109,0.266393443,0.04425914,0.007536989,0.012931034
HTC Snap US S522 (HTC Maple 120),2009-10-01,2009.75,1718,Phone,2009,10,HTC,HTC,61,0.093722343,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.012931034,0.308430086,0.987068966,0.962155228,-0.194060802,-0.078435586,0.150068213,0.276639344,0.037844772,0.008971586,0.012931034
HTC Tattoo A3232 (HTC Click 100),2009-10-01,2009.75,1719,Phone,2009,10,HTC,HTC,61,0.124973296,0.008388246,0.263664231,0.079136691,0.056910569,0.142857143,0.011422414,0.249116608,0.988577586,0.949326491,-0.181359077,-0.042715485,0.132878581,0.233606557,0.050673509,0.008093698,0.011422414
HTC Touch2 T3333 (HTC Mega 100),2009-10-01,2009.75,1720,Phone,2009,10,HTC,HTC,61,0.124973296,0.008388246,0.263664231,0.079136691,0.056910569,0.142857143,0.010775862,0.254164563,0.989224138,0.956382296,-0.17940804,-0.046427223,0.132332879,0.225409836,0.043617704,0.006359335,0.010775862
Huawei U8230,2009-10-01,2009.75,1721,Phone,2009,10,Huawei,Huawei,62,0.062471389,0.004193611,0.263664231,0.129496403,0.089430894,0.222222222,0.016163793,0.276375568,0.983836207,0.951892239,-0.159411484,-0.02836289,0.152796726,0.274590164,0.048107761,0.00473203,0.016163793
LG GM750 (LG Layla),2009-10-01,2009.75,1722,Phone,2009,10,LG,LG Electronics,77,0.124973296,0.008388246,0.263664231,0.09352518,0.056910569,0.182539683,0.012931034,0.281423523,0.987068966,0.962796665,-0.152959745,-0.058560262,0.136425648,0.249180328,0.037203335,0.006359335,0.012931034
Mobile Compia MM3 MC-8000,2009-10-01,2009.75,1723,Phone,2009,10,Mobile,HTC,61,0.062471389,0.004193611,0.311686129,0.129496403,0.154471545,0.301587302,0.121336207,0.464159515,0.878663793,0.674791533,-0.049313738,-0.063670911,0.206002729,0.655737705,0.325208467,0.198980794,0.121336207
Nokia 5230,2009-10-01,2009.75,1724,Phone,2009,10,Nokia,Nokia Corporation,92,0.062471389,0.004193611,0.216642789,0.107913669,0.105691057,0.301587302,0.011853448,0.469207471,0.988146552,0.946119307,-0.098820087,-0.149604618,0.123328786,0.254098361,0.053880693,0.008372053,0.011853448
Prestigio GeoVision 110,2009-10-01,2009.75,1725,Phone,2009,10,Prestigio,Archos,11,0.031220435,0.001047635,0.185628647,0.129496403,0.089430894,0.103174603,0.013362069,0.17617365,0.986637931,0.958948044,-0.292325522,0.05383067,0.252387449,0.104508197,0.041051956,0.010299124,0.013362069
Prestigio GeoVision 360,2009-10-01,2009.75,1726,Phone,2009,10,Prestigio,Archos,11,0.031220435,0.016777517,0.249657844,0.129496403,0.089430894,0.103174603,0.021551724,0.17617365,0.978448276,0.891597178,-0.257463266,0.058542747,0.255115962,0.110655738,0.108402822,0.027985354,0.021551724
Samsung GT-B7300 OmniaLITE (Samsung Buckingham),2009-10-01,2009.75,1727,Phone,2009,10,Samsung,Samsung,113,0.124973296,0.008388246,0.399726275,0.09352518,0.12195122,0.103174603,0.010560345,0.281423523,0.989439655,0.956382296,-0.095981994,-0.04708946,0.123601637,0.237704918,0.043617704,0.005866861,0.010560345
Samsung GT-B7320 OmniaPRO,2009-10-01,2009.75,1728,Phone,2009,10,Samsung,Samsung,113,0.124973296,0.004193611,0.263664231,0.050359712,0.089430894,0.103174603,0.008836207,0.308430086,0.991163793,0.958306607,-0.178025595,-0.080037103,0.145156889,0.253688525,0.041693393,0.008414877,0.008836207
Samsung GT-B7330 OmniaPRO,2009-10-01,2009.75,1729,Phone,2009,10,Samsung,Samsung,113,0.124973296,0.008388246,0.263664231,0.064748201,0.089430894,0.142857143,0.01012931,0.32382635,0.98987069,0.96985247,-0.153344545,-0.084983487,0.14324693,0.270081967,0.03014753,0.006230863,0.01012931
Samsung GT-B7610 OmniaPRO (Samsung Louvre),2009-10-01,2009.75,1730,Phone,2009,10,Samsung,Samsung,113,0.124973296,0.008388246,0.399726275,0.129496403,0.154471545,0.380952381,0.021336207,0.560070671,0.978663793,0.935214881,0.104677692,-0.205010041,0.139972715,0.260655738,0.064785119,0.013125495,0.021336207
Samsung GT-B7620 Giorgio Armani,2009-10-01,2009.75,1731,Phone,2009,10,Samsung,Samsung,113,0.124973296,0.008388246,0.399726275,0.129496403,0.154471545,0.380952381,0.022413793,0.560070671,0.977586207,0.934573445,0.10466671,-0.204507695,0.141336971,0.284836066,0.065426555,0.014667152,0.022413793
Samsung GT-i7500L Galaxy,2009-10-01,2009.75,1732,Phone,2009,10,Samsung,Samsung,113,0.093722343,0.125838031,0.263664231,0.107913669,0.089430894,0.222222222,0.011637931,0.524230187,0.988362069,0.962796665,-0.033270055,-0.144526864,0.135061392,0.270491803,0.037203335,0.008479113,0.011637931
Samsung GT-i8000L Omnia II M16 16GB,2009-10-01,2009.75,1733,Phone,2009,10,Samsung,Samsung,113,0.124973296,0.255032794,0.399726275,0.143884892,0.154471545,0.380952381,0.01487069,0.524230187,0.98512931,0.962796665,0.181014365,-0.103143786,0.144884038,0.282786885,0.037203335,0.008479113,0.01487069
Samsung GT-i8000U M2 2GB,2009-10-01,2009.75,1734,Phone,2009,10,Samsung,Samsung,113,0.124973296,0.008388246,0.399726275,0.143884892,0.154471545,0.380952381,0.01487069,0.524230187,0.98512931,0.962796665,0.098770476,-0.181511299,0.144884038,0.282786885,0.037203335,0.008479113,0.01487069
Samsung SPH-i350 Intrepid,2009-10-01,2009.75,1735,Phone,2009,10,Samsung,Samsung,113,0.124973296,0.008388246,0.263664231,0.057553957,0.089430894,0.103174603,0.012931034,0.291771832,0.987068966,0.956382296,-0.180063904,-0.06326332,0.156889495,0.270081967,0.043617704,0.010877246,0.012931034
Sony Ericsson Satio U1i / Idou (SE Satio),2009-10-01,2009.75,1736,Phone,2009,10,Sony,Sony Corporation,123,0.124973296,0.004193611,0.299680654,0.129496403,0.105691057,0.301587302,0.014224138,0.416961131,0.985775862,0.95574086,-0.032109439,-0.120268268,0.132332879,0.258196721,0.04425914,0.007708284,0.014224138
